
2022/12/24 (20:17:18) | ===> btop++ v.1.2.7
2022/12/24 (20:17:18) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2023/12/18 (23:39:42) | ===> btop++ v.1.2.13
2023/12/18 (23:39:43) | ERROR: Stall in Runner thread, restarting!
2023/12/19 (01:16:02) | ERROR: Stall in Runner thread, restarting!

2024/11/23 (23:54:36) | ===> btop++ v.1.4.0
2024/11/23 (23:54:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/24 (00:24:37) | ===> btop++ v.1.4.0
2024/11/24 (00:24:37) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/24 (02:29:14) | ===> btop++ v.1.4.0
2024/11/24 (02:29:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/24 (14:39:40) | ===> btop++ v.1.4.0
2024/11/24 (14:39:40) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/24 (14:49:35) | ===> btop++ v.1.4.0
2024/11/24 (14:49:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/24 (15:20:17) | ===> btop++ v.1.4.0
2024/11/24 (15:20:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/24 (15:21:35) | ===> btop++ v.1.4.0
2024/11/24 (15:21:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/24 (15:22:15) | ===> btop++ v.1.4.0
2024/11/24 (15:22:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/24 (15:24:01) | ===> btop++ v.1.4.0
2024/11/24 (15:24:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/25 (17:15:02) | ===> btop++ v.1.4.0
2024/11/25 (17:15:02) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/25 (17:15:06) | ===> btop++ v.1.4.0
2024/11/25 (17:15:06) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/25 (17:15:11) | ===> btop++ v.1.4.0
2024/11/25 (17:15:11) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/25 (17:15:20) | ===> btop++ v.1.4.0
2024/11/25 (17:15:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/25 (17:15:55) | ===> btop++ v.1.4.0
2024/11/25 (17:15:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/25 (22:37:57) | ===> btop++ v.1.4.0
2024/11/25 (22:37:57) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/26 (15:15:33) | ===> btop++ v.1.4.0
2024/11/26 (15:15:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/27 (21:33:03) | ===> btop++ v.1.4.0
2024/11/27 (21:33:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/27 (21:46:46) | ===> btop++ v.1.4.0
2024/11/27 (21:46:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/30 (17:09:27) | ===> btop++ v.1.4.0
2024/11/30 (17:09:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/01 (12:19:53) | ===> btop++ v.1.4.0
2024/12/01 (12:19:53) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/02 (11:46:38) | ===> btop++ v.1.4.0
2024/12/02 (11:46:38) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/04 (00:01:52) | ===> btop++ v.1.4.0
2024/12/04 (00:01:52) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/04 (18:38:23) | ===> btop++ v.1.4.0
2024/12/04 (18:38:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/06 (15:24:55) | ===> btop++ v.1.4.0
2024/12/06 (15:24:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/06 (15:48:04) | ===> btop++ v.1.4.0
2024/12/06 (15:48:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/06 (15:48:14) | ===> btop++ v.1.4.0
2024/12/06 (15:48:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/06 (22:48:39) | ===> btop++ v.1.4.0
2024/12/06 (22:48:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/07 (03:27:10) | ===> btop++ v.1.4.0
2024/12/07 (03:27:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/07 (18:36:33) | ===> btop++ v.1.4.0
2024/12/07 (18:36:33) | WARNING: Intel GPU: Failed to initialize PMU
